name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Yash Singh,Malta,Right hand Bat,,Right arm Offbreak,,
Julien Abega,Cameroon,Right hand Bat,,Right arm Medium,,
Ryan Bastiansz,Malta,Left hand Bat,,Right arm Medium,,
Shai Hope,West Indies,Right hand Bat,Wicketkeeper Batter,,"Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320122.png"
Pargat Singh,Canada,Right hand Bat,Allrounder,Right arm Offbreak,,
"Alen Magdalenic	",Croatia,Right hand Bat,,Right arm Medium,,
Vinoth Ravindran,Hungary,Right hand Bat,,Right arm Medium,,
Vijayakanth Viyaskanth,Sri Lanka,Right hand Bat,Bowler,Legbreak,"Legspinner Vijaykanth Viyaskanth first rose to prominence in December 2020, when he became the youngest player at 18 years and 364 days to feature in the Lanka Premier League for Jaffna Stallions. In that tournament, he also became the first born-and-bred player from Jaffna, in Sri Lanka's northern tip and once the epicentre of a three-decade-long civil war, to appear in an internationally televised game.",
Kuruge Abeyrathna,Norway,Right hand Bat,Wicketkeeper Batter,,,
Ihsanullah,Pakistan,Right hand Bat,Bowler,Right arm Fast,,
Saber Zakhil,Belgium,Right hand Bat,Bowler,Right arm Fast,,
Tabraiz Shamsi,South Africa,Right hand Bat,Bowler,Left arm Wrist spin,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322068.png"
Pascal Murungi,Uganda,Right hand Bat,,Right arm Medium,,
Shivam Mavi,India,Right hand Bat,Bowler,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341042.png"
Vedran Zanko(c),Croatia,Right hand Bat,,Right arm Medium fast,,
Avesh Khan,India,Right hand Bat,Bowler,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322244.png"
Lizaad Williams,South Africa,Left hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329749.png"
Harry Tector,Ireland,Right hand Bat,Middle order Batter,Right arm Offbreak,Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. ,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319873.png"
Abu Zar,Sweden,Left hand Bat,,Right arm Offbreak,,
Enkherdene Otgonbayar ,Mongolia,Right hand Bat,,,,
Umran Malik,India,Right hand Bat,Bowler,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/343200/343263.png"
Paaras Khari ,Czech Republic,Right hand Bat,,,,
Alzarri Joseph,West Indies,Right hand Bat,Bowler,Right arm Fast,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321943.png"
Adam Zampa,Australia,Right hand Bat,Bowler,Legbreak Googly,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321549.png"
Neil Smith,Philippines,,,,,
Sean Abbott,Australia,Right hand Bat,Bowling Allrounder,Right arm Fast medium,"Sean Abbott has developed into one of the most versatile bowling allrounders in Australian domestic cricket. A wicket-taking fast-medium bowler who also strikes the ball cleanly with the bat, and also a brilliant fielder, he made his return to international cricket late in 2019 against Pakistan in a T20I five years after his debut. It was a worthy reward for several outstanding seasons with the Sydney Sixers in the BBL where he was one of the most prolific wicket-takers in the competition and specialised in the death overs. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321600/321601.png"
Sachin Bhudia,Kenya,Right hand Bat,Allrounder,Right arm Medium,,
Rachin Ravindra,New Zealand,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329746.png"
Kenardo Fletcher,Switzerland,Left hand Bat,,Left arm Medium fast,,
Mirza Baig,Pakistan,Right hand Bat,Top order Batter,,,
Aasif Sheikh,Nepal,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330462.png"
Virandeep Singh,Malaysia,Right hand Bat,Allrounder,Slow Left arm Orthodox,,
Sukhdeep Singh ,Kenya,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,,
Akshay Daxini,Croatia,Right hand Bat,,Right arm Offbreak,,
Shadab Khan(c),Pakistan,Right hand Bat,Allrounder,Legbreak,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png"
Alistair Ifill,Cayman Islands,Right hand Bat,,Legbreak,,
Aaftab Alam Khan ,Malta,Right hand Bat,Wicketkeeper Batter,Right arm Medium fast,,
Noor Ali Zadran,Afghanistan,Right hand Bat,Opening Batter,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320503.png"
Muhammad Nadir,Rwanda,Left hand Bat,,Slow Left arm Orthodox,,
Shaik Basha,Tanzania,Left hand Bat,,,,
Harry Brook,England,Right hand Bat,Batter,Right arm Medium,"In the winter of 2022-23, Harry Brook announced himself as one of the world's most exciting young players with a staggering run of form across formats, most particularly in England's rebooted Test team. After making his debut against South Africa in September 2022, Brook travelled to Pakistan and New Zealand with Ben Stokes' team, where he peeled off consecutive scores of 153, 87, 9, 111, 89, 54, and 186 to take his overall tally to 809 runs in nine innings, at an extraordinary strike-rate of 98.77. No player in Test history had started with a bigger bang - Vinod Kambli had 796 runs after his own ninth innings - and not even Brook's anticlimactic tenth innings (run out without facing in England's thrilling one-run defeat at Wellington) could take the gloss off his achievement. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324246.png"
Emmanuel Bundi,Kenya,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321363.png"
Ruturaj Gaikwad(c),India,Right hand Bat,Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322236.png"
Ram Sharan,Cambodia,Right hand Bat,,Right arm Offbreak,,
Shahidullah,Afghanistan,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,,
Tendai Chatara,Zimbabwe,Right hand Bat,Bowler,Right arm Fast medium,"The first thing one notices when watching Tendai Chatara bowl is his curiously lopsided action, his left arm almost glued to his side as he rushes through the crease. But at the other end of that action there have been wickets - and lots of them. A tall, wiry fast bowler with appreciable pace and the ability to move the ball away from the right hander, Chatara has risen quickly to prominence since his first-class debut for Mountaineers in 2009. Naturally athletic, he had represented his home province of Manicaland in 200 and 400 metre events while in high school and soon found his calling in cricket.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316683.png"
Jos Buttler(c),England,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png"
Tadiwanashe Marumani,Zimbabwe,Left hand Bat,Top order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348591.png"
GianPiero Meade ,Italy,Right hand Bat,,Right arm Medium fast,,
Will Young,New Zealand,Right hand Bat,Top order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/346200/346246.png"
Will Jacks,England,Right hand Bat,Batting Allrounder,Right arm Offbreak,"It was a quirk of circumstance that Will Jacks' first standout performance as an England player was a six-wicket haul in a Test match rather than a characteristically dominant white-ball innings. Jacks became the first England debutant spinner since 1993 to claim a five-for on Test debut in 2022, setting up a famous win in Rawalpindi. Not only was it his maiden first-class five-for, he was not even meant to be in the side: he was a late change to the side before the toss with Ben Foakes ruled out through illness.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324300/324373.png"
Faheem Nazir,Switzerland,Left hand Bat,,Right arm Medium,,
Kohei Kubota,Japan,Right hand Bat,,Right arm Medium,,
Gareth Berg,Italy,Right hand Bat,Bowling Allrounder,Right arm Medium,"A bustling, brisk seam bowler and middle-order batsman, Gareth Berg learned his cricket in South Africa, playing a handful of one-day games for Western Province B, before moving to live in England and pro on the club scene. ",
Shangeev Thanikaithasan ,Denmark,Right hand Bat,,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366300/366310.png"
Junaid Siddique,United Arab Emirates,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354960.png"
Ashen Bandara,Sri Lanka,Right hand Bat,Middle order Batter,Legbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323079.png"
 Apriliandi Rahayu,Indonesia,Right hand Bat,,Right arm Medium,,
Raymon Reifer,West Indies,Left hand Bat,Allrounder,Left arm Medium fast,"The fourth first-class cricketer from a family that includes former Test captain Floyd Reifer, Raymond Reifer has made his name for his all-round abilities. A left-arm seamer who can score useful runs down the order, Reifer's mid-20s averages with both bat and ball reflect his consistency in first-class cricket. He played a major role in Guyana's run to the 2016-17 four-day title, with 36 wickets at 21.58 and 445 runs at 37.08, which earned him a maiden call up to the West Indies Test side ahead of their 2017 tour of England.ESPNcricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322036.png"
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Allrounder,Right arm Offbreak,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319728.png"
Josh Inglis ,Australia,Right hand Bat,Wicketkeeper Batter,,"Wicketkeeper-batter Josh Inglis, who was born in Leeds before relocating to Australia as a 14-year-old, moved quickly into the national reckoning over the last two years after finding his feet for both Western Australia and Perth Scorchers. A versatile and hard-hitting batter, he enjoyed a breakthrough Sheffield Shield season in 2020-21 with 585 runs including his first three first-class hundreds having previously churned out runs at grade level without quite making the step up. That followed consecutive 400-plus run seasons for Scorchers in the BBL - where his adaptability at moving from the top order to the middle was noted by selectors - and having continued to flay runs in county cricket for Leicestershire he was named in Australia's 2021 T20 World Cup despite not being part of any of the previous series.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324232.png"
Ryan Drake,Japan,Right hand Bat,Bowler,Right arm Medium,,
Shakib Al Hasan,Bangladesh,Left hand Bat,Allrounder,Slow Left arm Orthodox,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316581.png"
Wayne Parnell,South Africa,Left hand Bat,Bowler,Left arm Medium fast,"An aggressive left-handed seamer, who bowls with as much venom as he bats, Wayne Parnell was earmarked for success early and spent the next few years trying to get there. Inconsistency and injury were his nemeses, however, and that led to him abandoning international cricket with South Africa and signing a three-year deal with Worcestershire as a Kolpak after the 2018 English season.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316608.png"
Nicholas Pooran ,West Indies,Left hand Bat,Wicketkeeper Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320109.png"
Abdul Bashir,Germany,Right hand Bat,,Right arm Medium,,
Afsar Zazai,Afghanistan,Right hand Bat,Wicketkeeper Batter,,"Afsar Zazai's talent as a wicketkeeper-batsman was identified early and he was just 16 years old when he was included in Afghanistan's squad for the 2010 Under-19 World Cup. He'd already been on the age group radar for a while, having played for the Under-17 side at the Asian Cricket Council Challenge Cup, and had assured his place in the Under-19 squad with nine dismissals in six games at the U19 World Cup qualifiers in 2009. A developing talent, he went to his second Youth World Cup in 2012, the same year he made his First Class debut for the full Afghan national side in the Intercontinental Cup.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316682.png"
Blessings Pondani,Malawi,Right hand Bat,,Right arm Medium fast,,
Assad Vala,Papua New Guinea,Left hand Bat,Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321136.png"
Riazat Ali Shah(c),Uganda,Right hand Bat,,Right arm Medium,,
Mark Chapman,New Zealand,Left hand Bat,Allrounder,Slow Left arm Orthodox,"Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321241.png"
Nicolaj Laegsgaard,Denmark,Left hand Bat,,Slow Left arm Orthodox,,
Lakshit Gupta,Cambodia,Right hand Bat,,Right arm Offbreak,,
Hamza Khan,Rwanda,Right hand Bat,,,,
Rashid Khan,Afghanistan,Right hand Bat,Bowling Allrounder,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png"
Axar Patel,India,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,Axar Patel IPL factfile,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331164.png"
Sher Sahak,Norway,Right hand Bat,Batting Allrounder,Right arm Medium fast,,
Obed McCoy,West Indies,Left hand Bat,Bowler,Left arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322031.png"
Irfan Karim ,Kenya,Left hand Bat,Wicketkeeper Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321368.png"
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Bowling Allrounder,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354956.png"
Shevon Daniel,Sri Lanka,Left hand Bat,Top order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380400/380449.png"
Basil Hameed,United Arab Emirates,Right hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354958.png"
Fionn Hand,Ireland,Right hand Bat,Bowling Allrounder,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348603.png"
Maxi Koda,Indonesia,Right hand Bat,,Right arm Medium fast,,
Yashasvi Jaiswal,India,Left hand Bat,Opening Batter,Legbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340309.png"
Sese Bau,Papua New Guinea,Left hand Bat,Middle order Batter,Right arm Offbreak,"A prolific left-handed batsman who plays for the United Club in Port Moresby, Sese Bau scored 171 runs in the Under-19 World Cup Qualifiers. His cricketing hero is Adam Gilchrist, and his ambition is to represent Papua New Guinea's senior team at an ICC Cricket World Cup.
Cricinfo Staff, January 2010","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321159.png"
Anrich Nortje,South Africa,Right hand Bat,Bowler,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png"
Akbar Khan,Hong Kong,Right hand Bat,,Right arm Medium fast,,
Assad Vala(c),Papua New Guinea,Left hand Bat,Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321136.png"
Fahim Bhatti,Belgium,Right hand Bat,,Right arm Medium,,
Eliyas Jabarkhel,Luxembourg,Right hand Bat,,Right arm Medium,,
Samuel Conteh,Sierra Leone,Right hand Bat,,Right arm Medium,,
Vikram Vijh,Luxembourg,Left hand Bat,,Right arm Medium fast,,
Nuwan Thushara,Sri Lanka,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/343400/343442.gif"
Didier Ndikubwimana(c) ,Rwanda,Right hand Bat,Wicketkeeper Batter,,"Wicketkeeper-batter Didier Ndikubwimana is one of the youngest captains in international cricket, leading Rwanda at the age of 19. He had already played over 30 T20Is by then. In his first match in charge, against Tanzania in August 2023, he scored his maiden international half-century, 69 off 46 balls as opener in a seven-wicket win. In their next assignment, the West Africa Trophy in October that year, Rwanda finished second, winning four and tying one of their ten matches.",
Temba Bavuma,South Africa,Right hand Bat,Middle order Batter,Right arm Medium,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320389.png"
Kofi Bagabena,Ghana,Right hand Bat,,Right arm Medium,,
Narcisse Ndouteng,Cameroon,Right hand Bat,,Right arm Medium fast,,
Sazib Bhuiyan,Czech Republic,Right hand Bat,,Right arm Medium fast,,
Joshua van Heerden,Germany,Right hand Bat,,,,
Aahan Gopinath Achar,Singapore,Left hand Bat,Bowler,Slow Left arm Orthodox,,
Liam Livingstone,England,Right hand Bat,Batting Allrounder,"Right arm Offbreak, Legbreak","The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323103.png"
Phil Salt,England,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324245.png"
Shahzeb Choudhry(c),Sweden,,,,,
Kaleem Sana,Canada,Right hand Bat,Bowler,Left arm Medium fast,"Like a fair number of team-mates in the Under-19 World Cup in New Zealand, Kaleem Sana has had first-class experience. He made his debut for Pakistan Customs in 2009 and has played two games, grabbing three wickets.
Cricinfo Staff, January 2010",
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Bowler,Right arm Offbreak,"Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320501.png"
Eric Kubwimana,Rwanda,Right hand Bat,,Right arm Medium fast,,
Glenn Maxwell,Australia,Right hand Bat,Batting Allrounder,Right arm Offbreak,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png"
Dylan Blignaut,Germany,Right hand Bat,,Right arm Medium,,
Rehan Ahmed,England,Right hand Bat,Bowling Allrounder,Legbreak Googly,Rehan Ahmed became the youngest man to play Test cricket for England when he made his debut at 18 years and 126 days old in Karachi in December 2022 - and marked the occasion with a game-changing five-wicket haul in Pakistan's second innings.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/353900/353935.png"
Noor Ahmad,Afghanistan,Right hand Bat,Bowler,Left arm Wrist spin,,
Harsh Thaker,Canada,Right hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366400/366411.png"
Tilak Varma,India,Left hand Bat,Batting Allrounder,Right arm Offbreak,,
Alexander Dizija,Serbia,Right hand Bat,,Right arm Offbreak,,
Finn Allen,New Zealand,Right hand Bat,Top order Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321220.png"
Roger Atangana,Cameroon,Right hand Bat,Bowler,Left arm Medium fast,,
Ravi Bishnoi,India,Right hand Bat,Bowler,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337188.png"
Kadek Gamantika,Indonesia,Right hand Bat,,,,
Ferdinando Banunaek,Indonesia,Right hand Bat,,Right arm Medium,,
Grant Russ ,Philippines,Right hand Bat,,Right arm Medium,,
Mark Adair,Ireland,Right hand Bat,Bowling Allrounder,Right arm Fast medium,"Mark Adair is a tall, seam-bowling allrounder from Northern Ireland who made his first-class debut for Warwickshire while still a teenager at the end of the 2015 season. From a sporting family - his father was a goalkeeper at a decent level and his brother plays rugby and represented Ireland at cricket at age-group level - Adair also showed promise in rugby but committed to cricket having been offered a trial by Warwickshire in 2013. He has represented Ireland at age-group and A team level and claimed the wicket of Marcus Trescothick as his maiden victim in first-class cricket. He was released by Warwickshire at the end of the 2017 season and has since played for Northern Knights and Durham's second team.

George Dobell","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319892.png"
Matt Henry,New Zealand,Right hand Bat,Bowler,Right arm Fast medium,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321247.png"
Samson Awiah(c),Ghana,Right hand Bat,Top order Batter,Right arm Offbreak,,
Omid Mailk Khel,Belgium,Right hand Bat,,,,
Kevin Irakoze,Rwanda,Right hand Bat,,Right arm Offbreak,,
Aqib Ilyas,Oman,Right hand Bat,Top order Batter,"Right arm Offbreak, Legbreak Googly",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321767.png"
Rahman Ademi,Serbia,Right hand Bat,Middle order Batter,Right arm Medium,,
Donovan Ferreira,South Africa,Right hand Bat,Allrounder,Right arm Offbreak,,
Aziz Mohammad,Belgium,Right hand Bat,Bowler,Right arm Fast medium,,
Clinton Rubagumya,Rwanda,Right hand Bat,,Right arm Medium,,
Didier Ndikubwimana ,Rwanda,Right hand Bat,Wicketkeeper Batter,,"Wicketkeeper-batter Didier Ndikubwimana is one of the youngest captains in international cricket, leading Rwanda at the age of 19. He had already played over 30 T20Is by then. In his first match in charge, against Tanzania in August 2023, he scored his maiden international half-century, 69 off 46 balls as opener in a seven-wicket win. In their next assignment, the West Africa Trophy in October that year, Rwanda finished second, winning four and tying one of their ten matches.",
Razmal Shigiwal(c),Austria,Right hand Bat,,Right arm Medium,,
George Ngegba(c),Sierra Leone,Right hand Bat,,Right arm Offbreak,,
Anish Paraam,Singapore,Right hand Bat,,Slow Left arm Orthodox,,
Junaid Mehmood ,Norway,Right hand Bat,,,,
Shangeev Thanikaithasan  ,Denmark,Right hand Bat,,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366300/366310.png"
